Func 1: f(x)=a2*x^2+a1*x+a0, a2=1 a1=0 a0=0, [0,1]
I_exact = 0.333333333333
h = (b-a)/n

n	h	E_left	E_right	E_mid	E_trap	E_simp
---	---	-------	-------	-----	------	------
    10	    0.100000	    0.048333	    0.051667	    0.000833	    0.001667	    0.000000
    20	    0.050000	    0.024583	    0.025417	    0.000208	    0.000417	    0.000000
    30	    0.033333	    0.016481	    0.016852	    0.000093	    0.000185	    0.000000
    40	    0.025000	    0.012396	    0.012604	    0.000052	    0.000104	    0.000000
    50	    0.020000	    0.009933	    0.010067	    0.000033	    0.000067	    0.000000
    60	    0.016667	    0.008287	    0.008380	    0.000023	    0.000046	    0.000000
    70	    0.014286	    0.007109	    0.007177	    0.000017	    0.000034	    0.000000
    80	    0.012500	    0.006224	    0.006276	    0.000013	    0.000026	    0.000000
    90	    0.011111	    0.005535	    0.005576	    0.000010	    0.000021	    0.000000
   100	    0.010000	    0.004983	    0.005017	    0.000008	    0.000017	    0.000000
   110	    0.009091	    0.004532	    0.004559	    0.000007	    0.000014	    0.000000
   120	    0.008333	    0.004155	    0.004178	    0.000006	    0.000012	    0.000000
   130	    0.007692	    0.003836	    0.003856	    0.000005	    0.000010	    0.000000
   140	    0.007143	    0.003563	    0.003580	    0.000004	    0.000009	    0.000000
   150	    0.006667	    0.003326	    0.003341	    0.000004	    0.000007	    0.000000
   160	    0.006250	    0.003118	    0.003132	    0.000003	    0.000007	    0.000000
   170	    0.005882	    0.002935	    0.002947	    0.000003	    0.000006	    0.000000
   180	    0.005556	    0.002773	    0.002783	    0.000003	    0.000005	    0.000000
   190	    0.005263	    0.002627	    0.002636	    0.000002	    0.000005	    0.000000
   200	    0.005000	    0.002496	    0.002504	    0.000002	    0.000004	    0.000000
   210	    0.004762	    0.002377	    0.002385	    0.000002	    0.000004	    0.000000
   220	    0.004545	    0.002269	    0.002276	    0.000002	    0.000003	    0.000000
   230	    0.004348	    0.002171	    0.002177	    0.000002	    0.000003	    0.000000
   240	    0.004167	    0.002080	    0.002086	    0.000001	    0.000003	    0.000000
   250	    0.004000	    0.001997	    0.002003	    0.000001	    0.000003	    0.000000
   260	    0.003846	    0.001921	    0.001926	    0.000001	    0.000002	    0.000000
   270	    0.003704	    0.001850	    0.001854	    0.000001	    0.000002	    0.000000
   280	    0.003571	    0.001784	    0.001788	    0.000001	    0.000002	    0.000000
   290	    0.003448	    0.001722	    0.001726	    0.000001	    0.000002	    0.000000
   300	    0.003333	    0.001665	    0.001669	    0.000001	    0.000002	    0.000000
   310	    0.003226	    0.001611	    0.001615	    0.000001	    0.000002	    0.000000
   320	    0.003125	    0.001561	    0.001564	    0.000001	    0.000002	    0.000000
   330	    0.003030	    0.001514	    0.001517	    0.000001	    0.000002	    0.000000
   340	    0.002941	    0.001469	    0.001472	    0.000001	    0.000001	    0.000000
   350	    0.002857	    0.001427	    0.001430	    0.000001	    0.000001	    0.000000
   360	    0.002778	    0.001388	    0.001390	    0.000001	    0.000001	    0.000000
