Func 1: f(x)=x^2+x+1, [0,2]
I_exact = 6.666666666667
h = (b-a)/n

n	h	E_left	E_right	E_mid	E_trap	E_simp
---	---	-------	-------	-----	------	------
    10	    0.200000	    0.586667	    0.613333	    0.006667	    0.013333	    0.000000
    20	    0.100000	    0.296667	    0.303333	    0.001667	    0.003333	    0.000000
    30	    0.066667	    0.198519	    0.201481	    0.000741	    0.001481	    0.000000
    40	    0.050000	    0.149167	    0.150833	    0.000417	    0.000833	    0.000000
    50	    0.040000	    0.119467	    0.120533	    0.000267	    0.000533	    0.000000
    60	    0.033333	    0.099630	    0.100370	    0.000185	    0.000370	    0.000000
    70	    0.028571	    0.085442	    0.085986	    0.000136	    0.000272	    0.000000
    80	    0.025000	    0.074792	    0.075208	    0.000104	    0.000208	    0.000000
    90	    0.022222	    0.066502	    0.066831	    0.000082	    0.000165	    0.000000
   100	    0.020000	    0.059867	    0.060133	    0.000067	    0.000133	    0.000000
   110	    0.018182	    0.054435	    0.054656	    0.000055	    0.000110	    0.000000
   120	    0.016667	    0.049907	    0.050093	    0.000046	    0.000093	    0.000000
   130	    0.015385	    0.046075	    0.046233	    0.000039	    0.000079	    0.000000
   140	    0.014286	    0.042789	    0.042925	    0.000034	    0.000068	    0.000000
   150	    0.013333	    0.039941	    0.040059	    0.000030	    0.000059	    0.000000
   160	    0.012500	    0.037448	    0.037552	    0.000026	    0.000052	    0.000000
   170	    0.011765	    0.035248	    0.035340	    0.000023	    0.000046	    0.000000
   180	    0.011111	    0.033292	    0.033374	    0.000021	    0.000041	    0.000000
   190	    0.010526	    0.031542	    0.031616	    0.000018	    0.000037	    0.000000
   200	    0.010000	    0.029967	    0.030033	    0.000017	    0.000033	    0.000000
   210	    0.009524	    0.028541	    0.028602	    0.000015	    0.000030	    0.000000
   220	    0.009091	    0.027245	    0.027300	    0.000014	    0.000028	    0.000000
   230	    0.008696	    0.026062	    0.026112	    0.000013	    0.000025	    0.000000
   240	    0.008333	    0.024977	    0.025023	    0.000012	    0.000023	    0.000000
   250	    0.008000	    0.023979	    0.024021	    0.000011	    0.000021	    0.000000
   260	    0.007692	    0.023057	    0.023097	    0.000010	    0.000020	    0.000000
   270	    0.007407	    0.022204	    0.022241	    0.000009	    0.000018	    0.000000
   280	    0.007143	    0.021412	    0.021446	    0.000009	    0.000017	    0.000000
   290	    0.006897	    0.020674	    0.020706	    0.000008	    0.000016	    0.000000
   300	    0.006667	    0.019985	    0.020015	    0.000007	    0.000015	    0.000000
   310	    0.006452	    0.019341	    0.019369	    0.000007	    0.000014	    0.000000
   320	    0.006250	    0.018737	    0.018763	    0.000007	    0.000013	    0.000000
   330	    0.006061	    0.018170	    0.018194	    0.000006	    0.000012	    0.000000
   340	    0.005882	    0.017636	    0.017659	    0.000006	    0.000012	    0.000000
   350	    0.005714	    0.017132	    0.017154	    0.000005	    0.000011	    0.000000
   360	    0.005556	    0.016656	    0.016677	    0.000005	    0.000010	    0.000000
   370	    0.005405	    0.016206	    0.016226	    0.000005	    0.000010	    0.000000
