Func 2: f(x)=sin(x), [0, pi]
I_exact = 2.000000000000
h = (b-a)/n

n	h	E_left	E_right	E_mid	E_trap	E_simp
---	---	-------	-------	-----	------	------
    10	    0.314159	    0.016476	    0.016476	    0.008248	    0.016476	    0.000110
    20	    0.157080	    0.004114	    0.004114	    0.002058	    0.004114	    0.000007
    30	    0.104720	    0.001828	    0.001828	    0.000914	    0.001828	    0.000001
    40	    0.078540	    0.001028	    0.001028	    0.000514	    0.001028	    0.000000
    50	    0.062832	    0.000658	    0.000658	    0.000329	    0.000658	    0.000000
    60	    0.052360	    0.000457	    0.000457	    0.000228	    0.000457	    0.000000
    70	    0.044880	    0.000336	    0.000336	    0.000168	    0.000336	    0.000000
    80	    0.039270	    0.000257	    0.000257	    0.000129	    0.000257	    0.000000
    90	    0.034907	    0.000203	    0.000203	    0.000102	    0.000203	    0.000000
   100	    0.031416	    0.000164	    0.000164	    0.000082	    0.000164	    0.000000
   110	    0.028560	    0.000136	    0.000136	    0.000068	    0.000136	    0.000000
   120	    0.026180	    0.000114	    0.000114	    0.000057	    0.000114	    0.000000
   130	    0.024166	    0.000097	    0.000097	    0.000049	    0.000097	    0.000000
   140	    0.022440	    0.000084	    0.000084	    0.000042	    0.000084	    0.000000
   150	    0.020944	    0.000073	    0.000073	    0.000037	    0.000073	    0.000000
   160	    0.019635	    0.000064	    0.000064	    0.000032	    0.000064	    0.000000
   170	    0.018480	    0.000057	    0.000057	    0.000028	    0.000057	    0.000000
   180	    0.017453	    0.000051	    0.000051	    0.000025	    0.000051	    0.000000
   190	    0.016535	    0.000046	    0.000046	    0.000023	    0.000046	    0.000000
   200	    0.015708	    0.000041	    0.000041	    0.000021	    0.000041	    0.000000
   210	    0.014960	    0.000037	    0.000037	    0.000019	    0.000037	    0.000000
   220	    0.014280	    0.000034	    0.000034	    0.000017	    0.000034	    0.000000
   230	    0.013659	    0.000031	    0.000031	    0.000016	    0.000031	    0.000000
   240	    0.013090	    0.000029	    0.000029	    0.000014	    0.000029	    0.000000
   250	    0.012566	    0.000026	    0.000026	    0.000013	    0.000026	    0.000000
   260	    0.012083	    0.000024	    0.000024	    0.000012	    0.000024	    0.000000
   270	    0.011636	    0.000023	    0.000023	    0.000011	    0.000023	    0.000000
   280	    0.011220	    0.000021	    0.000021	    0.000010	    0.000021	    0.000000
   290	    0.010833	    0.000020	    0.000020	    0.000010	    0.000020	    0.000000
   300	    0.010472	    0.000018	    0.000018	    0.000009	    0.000018	    0.000000
   310	    0.010134	    0.000017	    0.000017	    0.000009	    0.000017	    0.000000
   320	    0.009817	    0.000016	    0.000016	    0.000008	    0.000016	    0.000000
   330	    0.009520	    0.000015	    0.000015	    0.000008	    0.000015	    0.000000
   340	    0.009240	    0.000014	    0.000014	    0.000007	    0.000014	    0.000000
   350	    0.008976	    0.000013	    0.000013	    0.000007	    0.000013	    0.000000
   360	    0.008727	    0.000013	    0.000013	    0.000006	    0.000013	    0.000000
   370	    0.008491	    0.000012	    0.000012	    0.000006	    0.000012	    0.000000
   380	    0.008267	    0.000011	    0.000011	    0.000006	    0.000011	    0.000000
   390	    0.008055	    0.000011	    0.000011	    0.000005	    0.000011	    0.000000
   400	    0.007854	    0.000010	    0.000010	    0.000005	    0.000010	    0.000000
   410	    0.007662	    0.000010	    0.000010	    0.000005	    0.000010	    0.000000
   420	    0.007480	    0.000009	    0.000009	    0.000005	    0.000009	    0.000000
   430	    0.007306	    0.000009	    0.000009	    0.000004	    0.000009	    0.000000
   440	    0.007140	    0.000008	    0.000008	    0.000004	    0.000008	    0.000000
   450	    0.006981	    0.000008	    0.000008	    0.000004	    0.000008	    0.000000
   460	    0.006830	    0.000008	    0.000008	    0.000004	    0.000008	    0.000000
   470	    0.006684	    0.000007	    0.000007	    0.000004	    0.000007	    0.000000
   480	    0.006545	    0.000007	    0.000007	    0.000004	    0.000007	    0.000000
   490	    0.006411	    0.000007	    0.000007	    0.000003	    0.000007	    0.000000
   500	    0.006283	    0.000007	    0.000007	    0.000003	    0.000007	    0.000000
   510	    0.006160	    0.000006	    0.000006	    0.000003	    0.000006	    0.000000
   520	    0.006042	    0.000006	    0.000006	    0.000003	    0.000006	    0.000000
   530	    0.005928	    0.000006	    0.000006	    0.000003	    0.000006	    0.000000
   540	    0.005818	    0.000006	    0.000006	    0.000003	    0.000006	    0.000000
   550	    0.005712	    0.000005	    0.000005	    0.000003	    0.000005	    0.000000
   560	    0.005610	    0.000005	    0.000005	    0.000003	    0.000005	    0.000000
   570	    0.005512	    0.000005	    0.000005	    0.000003	    0.000005	    0.000000
   580	    0.005417	    0.000005	    0.000005	    0.000002	    0.000005	    0.000000
   590	    0.005325	    0.000005	    0.000005	    0.000002	    0.000005	    0.000000
   600	    0.005236	    0.000005	    0.000005	    0.000002	    0.000005	    0.000000
   610	    0.005150	    0.000004	    0.000004	    0.000002	    0.000004	    0.000000
   620	    0.005067	    0.000004	    0.000004	    0.000002	    0.000004	    0.000000
   630	    0.004987	    0.000004	    0.000004	    0.000002	    0.000004	    0.000000
   640	    0.004909	    0.000004	    0.000004	    0.000002	    0.000004	    0.000000
   650	    0.004833	    0.000004	    0.000004	    0.000002	    0.000004	    0.000000
   660	    0.004760	    0.000004	    0.000004	    0.000002	    0.000004	    0.000000
   670	    0.004689	    0.000004	    0.000004	    0.000002	    0.000004	    0.000000
   680	    0.004620	    0.000004	    0.000004	    0.000002	    0.000004	    0.000000
   690	    0.004553	    0.000003	    0.000003	    0.000002	    0.000003	    0.000000
   700	    0.004488	    0.000003	    0.000003	    0.000002	    0.000003	    0.000000
   710	    0.004425	    0.000003	    0.000003	    0.000002	    0.000003	    0.000000
   720	    0.004363	    0.000003	    0.000003	    0.000002	    0.000003	    0.000000
   730	    0.004304	    0.000003	    0.000003	    0.000002	    0.000003	    0.000000
   740	    0.004245	    0.000003	    0.000003	    0.000002	    0.000003	    0.000000
   750	    0.004189	    0.000003	    0.000003	    0.000001	    0.000003	    0.000000
   760	    0.004134	    0.000003	    0.000003	    0.000001	    0.000003	    0.000000
   770	    0.004080	    0.000003	    0.000003	    0.000001	    0.000003	    0.000000
   780	    0.004028	    0.000003	    0.000003	    0.000001	    0.000003	    0.000000
   790	    0.003977	    0.000003	    0.000003	    0.000001	    0.000003	    0.000000
   800	    0.003927	    0.000003	    0.000003	    0.000001	    0.000003	    0.000000
   810	    0.003879	    0.000003	    0.000003	    0.000001	    0.000003	    0.000000
   820	    0.003831	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   830	    0.003785	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   840	    0.003740	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   850	    0.003696	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   860	    0.003653	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   870	    0.003611	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   880	    0.003570	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   890	    0.003530	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   900	    0.003491	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   910	    0.003452	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   920	    0.003415	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   930	    0.003378	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   940	    0.003342	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   950	    0.003307	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   960	    0.003272	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   970	    0.003239	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   980	    0.003206	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
   990	    0.003173	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
  1000	    0.003142	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
  1010	    0.003110	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
  1020	    0.003080	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
  1030	    0.003050	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
  1040	    0.003021	    0.000002	    0.000002	    0.000001	    0.000002	    0.000000
  1050	    0.002992	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1060	    0.002964	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1070	    0.002936	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1080	    0.002909	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1090	    0.002882	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1100	    0.002856	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1110	    0.002830	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1120	    0.002805	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1130	    0.002780	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1140	    0.002756	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1150	    0.002732	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1160	    0.002708	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1170	    0.002685	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1180	    0.002662	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1190	    0.002640	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1200	    0.002618	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1210	    0.002596	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1220	    0.002575	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1230	    0.002554	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1240	    0.002534	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1250	    0.002513	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
  1260	    0.002493	    0.000001	    0.000001	    0.000001	    0.000001	    0.000000
