Func 3: f(x)=exp(x), [0,2]
I_exact = 6.389056098931
h = (b-a)/n

n	h	E_left	E_right	E_mid	E_trap	E_simp
---	---	-------	-------	-----	------	------
    10	    0.200000	    0.617623	    0.660188	    0.010636	    0.021283	    0.000057
    20	    0.100000	    0.314129	    0.324776	    0.002661	    0.005323	    0.000004
    30	    0.066667	    0.210602	    0.215335	    0.001183	    0.002366	    0.000001
    40	    0.050000	    0.158395	    0.161057	    0.000665	    0.001331	    0.000000
    50	    0.040000	    0.126929	    0.128633	    0.000426	    0.000852	    0.000000
    60	    0.033333	    0.105893	    0.107076	    0.000296	    0.000592	    0.000000
    70	    0.028571	    0.090838	    0.091707	    0.000217	    0.000435	    0.000000
    80	    0.025000	    0.079530	    0.080196	    0.000166	    0.000333	    0.000000
    90	    0.022222	    0.070727	    0.071252	    0.000131	    0.000263	    0.000000
   100	    0.020000	    0.063678	    0.064104	    0.000106	    0.000213	    0.000000
   110	    0.018182	    0.057906	    0.058258	    0.000088	    0.000176	    0.000000
   120	    0.016667	    0.053094	    0.053390	    0.000074	    0.000148	    0.000000
   130	    0.015385	    0.049021	    0.049273	    0.000063	    0.000126	    0.000000
   140	    0.014286	    0.045527	    0.045745	    0.000054	    0.000109	    0.000000
   150	    0.013333	    0.042499	    0.042688	    0.000047	    0.000095	    0.000000
   160	    0.012500	    0.039848	    0.040015	    0.000042	    0.000083	    0.000000
   170	    0.011765	    0.037509	    0.037656	    0.000037	    0.000074	    0.000000
   180	    0.011111	    0.035429	    0.035560	    0.000033	    0.000066	    0.000000
   190	    0.010526	    0.033568	    0.033686	    0.000029	    0.000059	    0.000000
   200	    0.010000	    0.031892	    0.031999	    0.000027	    0.000053	    0.000000
   210	    0.009524	    0.030376	    0.030472	    0.000024	    0.000048	    0.000000
   220	    0.009091	    0.028997	    0.029085	    0.000022	    0.000044	    0.000000
   230	    0.008696	    0.027738	    0.027819	    0.000020	    0.000040	    0.000000
   240	    0.008333	    0.026584	    0.026658	    0.000018	    0.000037	    0.000000
   250	    0.008000	    0.025522	    0.025590	    0.000017	    0.000034	    0.000000
   260	    0.007692	    0.024542	    0.024605	    0.000016	    0.000032	    0.000000
   270	    0.007407	    0.023634	    0.023692	    0.000015	    0.000029	    0.000000
   280	    0.007143	    0.022791	    0.022845	    0.000014	    0.000027	    0.000000
   290	    0.006897	    0.022006	    0.022057	    0.000013	    0.000025	    0.000000
   300	    0.006667	    0.021273	    0.021321	    0.000012	    0.000024	    0.000000
   310	    0.006452	    0.020588	    0.020632	    0.000011	    0.000022	    0.000000
   320	    0.006250	    0.019945	    0.019987	    0.000010	    0.000021	    0.000000
   330	    0.006061	    0.019341	    0.019380	    0.000010	    0.000020	    0.000000
   340	    0.005882	    0.018773	    0.018810	    0.000009	    0.000018	    0.000000
   350	    0.005714	    0.018237	    0.018272	    0.000009	    0.000017	    0.000000
   360	    0.005556	    0.017731	    0.017764	    0.000008	    0.000016	    0.000000
   370	    0.005405	    0.017252	    0.017283	    0.000008	    0.000016	    0.000000
