Func 4: f(x)=sqrt(x), [0,10]
I_exact = 21.081851067789
h = (b-a)/n

n	h	E_left	E_right	E_mid	E_trap	E_simp
---	---	-------	-------	-----	------	------
    10	    1.000000	    1.775851	    1.386427	    0.054302	    0.194712	    0.081178
    20	    0.500000	    0.860774	    0.720364	    0.019880	    0.070205	    0.028703
    30	    0.333333	    0.565590	    0.488503	    0.010986	    0.038544	    0.015624
    40	    0.250000	    0.420447	    0.370122	    0.007199	    0.025162	    0.010148
    50	    0.200000	    0.334295	    0.298161	    0.005183	    0.018067	    0.007261
    60	    0.166667	    0.277302	    0.249744	    0.003960	    0.013779	    0.005524
    70	    0.142857	    0.236833	    0.214921	    0.003153	    0.010956	    0.004384
    80	    0.125000	    0.206624	    0.188661	    0.002588	    0.008981	    0.003588
    90	    0.111111	    0.183219	    0.168145	    0.002174	    0.007537	    0.003007
   100	    0.100000	    0.164556	    0.151672	    0.001860	    0.006442	    0.002567
   110	    0.090909	    0.149329	    0.138151	    0.001615	    0.005589	    0.002225
   120	    0.083333	    0.136671	    0.126852	    0.001419	    0.004909	    0.001953
   130	    0.076923	    0.125983	    0.117269	    0.001260	    0.004357	    0.001732
   140	    0.071429	    0.116840	    0.109037	    0.001129	    0.003901	    0.001550
   150	    0.066667	    0.108929	    0.101889	    0.001019	    0.003520	    0.001397
   160	    0.062500	    0.102018	    0.095624	    0.000926	    0.003197	    0.001269
   170	    0.058824	    0.095928	    0.090088	    0.000846	    0.002920	    0.001158
   180	    0.055556	    0.090523	    0.085160	    0.000777	    0.002682	    0.001063
   190	    0.052632	    0.085691	    0.080744	    0.000717	    0.002474	    0.000980
   200	    0.050000	    0.081348	    0.076766	    0.000664	    0.002291	    0.000908
   210	    0.047619	    0.077423	    0.073162	    0.000618	    0.002130	    0.000844
   220	    0.045455	    0.073857	    0.069883	    0.000576	    0.001987	    0.000787
   230	    0.043478	    0.070605	    0.066885	    0.000540	    0.001860	    0.000736
   240	    0.041667	    0.067626	    0.064136	    0.000506	    0.001745	    0.000690
   250	    0.040000	    0.064888	    0.061604	    0.000477	    0.001642	    0.000649
   260	    0.038462	    0.062362	    0.059264	    0.000450	    0.001549	    0.000612
   270	    0.037037	    0.060024	    0.057097	    0.000425	    0.001464	    0.000579
   280	    0.035714	    0.057856	    0.055083	    0.000403	    0.001386	    0.000548
   290	    0.034483	    0.055838	    0.053207	    0.000382	    0.001315	    0.000520
   300	    0.033333	    0.053955	    0.051454	    0.000363	    0.001251	    0.000494
   310	    0.032258	    0.052195	    0.049814	    0.000346	    0.001191	    0.000470
   320	    0.031250	    0.050546	    0.048275	    0.000330	    0.001136	    0.000448
   330	    0.030303	    0.048998	    0.046829	    0.000315	    0.001085	    0.000428
   340	    0.029412	    0.047541	    0.045467	    0.000301	    0.001037	    0.000410
   350	    0.028571	    0.046169	    0.044182	    0.000289	    0.000993	    0.000392
   360	    0.027778	    0.044873	    0.042968	    0.000277	    0.000952	    0.000376
   370	    0.027027	    0.043648	    0.041819	    0.000266	    0.000914	    0.000361
   380	    0.026316	    0.042487	    0.040731	    0.000255	    0.000878	    0.000347
   390	    0.025641	    0.041387	    0.039697	    0.000246	    0.000845	    0.000333
   400	    0.025000	    0.040342	    0.038715	    0.000237	    0.000814	    0.000321
   410	    0.024390	    0.039348	    0.037780	    0.000228	    0.000784	    0.000309
   420	    0.023810	    0.038402	    0.036890	    0.000220	    0.000756	    0.000298
   430	    0.023256	    0.037501	    0.036041	    0.000212	    0.000730	    0.000288
   440	    0.022727	    0.036640	    0.035230	    0.000205	    0.000705	    0.000278
   450	    0.022222	    0.035819	    0.034454	    0.000198	    0.000682	    0.000269
   460	    0.021739	    0.035033	    0.033712	    0.000192	    0.000660	    0.000260
   470	    0.021277	    0.034280	    0.033002	    0.000186	    0.000639	    0.000252
   480	    0.020833	    0.033560	    0.032321	    0.000180	    0.000619	    0.000244
   490	    0.020408	    0.032869	    0.031668	    0.000175	    0.000601	    0.000237
   500	    0.020000	    0.032205	    0.031040	    0.000170	    0.000583	    0.000230
   510	    0.019608	    0.031568	    0.030437	    0.000165	    0.000566	    0.000223
   520	    0.019231	    0.030956	    0.029857	    0.000160	    0.000550	    0.000217
   530	    0.018868	    0.030367	    0.029299	    0.000155	    0.000534	    0.000210
   540	    0.018519	    0.029800	    0.028761	    0.000151	    0.000519	    0.000205
   550	    0.018182	    0.029253	    0.028243	    0.000147	    0.000505	    0.000199
   560	    0.017857	    0.028726	    0.027743	    0.000143	    0.000492	    0.000194
   570	    0.017544	    0.028218	    0.027260	    0.000139	    0.000479	    0.000189
   580	    0.017241	    0.027728	    0.026794	    0.000136	    0.000467	    0.000184
   590	    0.016949	    0.027254	    0.026344	    0.000132	    0.000455	    0.000179
   600	    0.016667	    0.026796	    0.025909	    0.000129	    0.000444	    0.000175
   610	    0.016393	    0.026353	    0.025488	    0.000126	    0.000433	    0.000170
   620	    0.016129	    0.025925	    0.025080	    0.000123	    0.000422	    0.000166
   630	    0.015873	    0.025510	    0.024685	    0.000120	    0.000412	    0.000162
