Func 4: f(x)=sqrt(x), [0,1]  (особенность в x=0)
I_exact = 0.666666666667
h = (b-a)/n

n	h	E_left	E_right	E_mid	E_trap	E_simp
---	---	-------	-------	-----	------	------
    10	    0.100000	    0.056157	    0.043843	    0.001717	    0.006157	    0.002567
    20	    0.050000	    0.027220	    0.022780	    0.000629	    0.002220	    0.000908
    30	    0.033333	    0.017886	    0.015448	    0.000347	    0.001219	    0.000494
    40	    0.025000	    0.013296	    0.011704	    0.000228	    0.000796	    0.000321
    50	    0.020000	    0.010571	    0.009429	    0.000164	    0.000571	    0.000230
    60	    0.016667	    0.008769	    0.007898	    0.000125	    0.000436	    0.000175
    70	    0.014286	    0.007489	    0.006796	    0.000100	    0.000346	    0.000139
    80	    0.012500	    0.006534	    0.005966	    0.000082	    0.000284	    0.000113
    90	    0.011111	    0.005794	    0.005317	    0.000069	    0.000238	    0.000095
   100	    0.010000	    0.005204	    0.004796	    0.000059	    0.000204	    0.000081
   110	    0.009091	    0.004722	    0.004369	    0.000051	    0.000177	    0.000070
   120	    0.008333	    0.004322	    0.004011	    0.000045	    0.000155	    0.000062
   130	    0.007692	    0.003984	    0.003708	    0.000040	    0.000138	    0.000055
   140	    0.007143	    0.003695	    0.003448	    0.000036	    0.000123	    0.000049
   150	    0.006667	    0.003445	    0.003222	    0.000032	    0.000111	    0.000044
   160	    0.006250	    0.003226	    0.003024	    0.000029	    0.000101	    0.000040
   170	    0.005882	    0.003034	    0.002849	    0.000027	    0.000092	    0.000037
   180	    0.005556	    0.002863	    0.002693	    0.000025	    0.000085	    0.000034
   190	    0.005263	    0.002710	    0.002553	    0.000023	    0.000078	    0.000031
   200	    0.005000	    0.002572	    0.002428	    0.000021	    0.000072	    0.000029
   210	    0.004762	    0.002448	    0.002314	    0.000020	    0.000067	    0.000027
   220	    0.004545	    0.002336	    0.002210	    0.000018	    0.000063	    0.000025
   230	    0.004348	    0.002233	    0.002115	    0.000017	    0.000059	    0.000023
   240	    0.004167	    0.002139	    0.002028	    0.000016	    0.000055	    0.000022
   250	    0.004000	    0.002052	    0.001948	    0.000015	    0.000052	    0.000021
