Func 4: f(x)=sqrt(x), [0.1,10]
I_exact = 21.060769216721
h = (b-a)/n

n	h	E_left	E_right	E_mid	E_trap	E_simp
---	---	-------	-------	-----	------	------
    10	    0.990000	    1.498896	    1.318693	    0.038865	    0.090102	    0.020652
    20	    0.495000	    0.730016	    0.678779	    0.011822	    0.025618	    0.004124
    30	    0.330000	    0.481560	    0.457637	    0.005682	    0.011961	    0.001454
    40	    0.247500	    0.359097	    0.345300	    0.003329	    0.006898	    0.000658
    50	    0.198000	    0.286238	    0.277279	    0.002182	    0.004480	    0.000345
    60	    0.165000	    0.237939	    0.231660	    0.001539	    0.003140	    0.000199
    70	    0.141429	    0.203577	    0.198935	    0.001143	    0.002321	    0.000123
    80	    0.123750	    0.177884	    0.174315	    0.000881	    0.001785	    0.000080
    90	    0.110000	    0.157947	    0.155118	    0.000700	    0.001415	    0.000055
   100	    0.099000	    0.142028	    0.139731	    0.000569	    0.001149	    0.000038
   110	    0.090000	    0.129023	    0.127121	    0.000472	    0.000951	    0.000028
   120	    0.082500	    0.118200	    0.116599	    0.000398	    0.000800	    0.000021
   130	    0.076154	    0.109052	    0.107686	    0.000340	    0.000683	    0.000016
   140	    0.070714	    0.101217	    0.100039	    0.000293	    0.000589	    0.000012
   150	    0.066000	    0.094433	    0.093406	    0.000256	    0.000514	    0.000009
   160	    0.061875	    0.088501	    0.087598	    0.000225	    0.000452	    0.000007
   170	    0.058235	    0.083271	    0.082470	    0.000200	    0.000400	    0.000006
   180	    0.055000	    0.078624	    0.077909	    0.000178	    0.000357	    0.000005
   190	    0.052105	    0.074468	    0.073826	    0.000160	    0.000321	    0.000004
   200	    0.049500	    0.070729	    0.070150	    0.000144	    0.000290	    0.000003
   210	    0.047143	    0.067348	    0.066823	    0.000131	    0.000263	    0.000003
   220	    0.045000	    0.064276	    0.063797	    0.000120	    0.000239	    0.000002
   230	    0.043043	    0.061471	    0.061033	    0.000109	    0.000219	    0.000002
   240	    0.041250	    0.058901	    0.058498	    0.000100	    0.000201	    0.000002
   250	    0.039600	    0.056537	    0.056166	    0.000093	    0.000186	    0.000001
   260	    0.038077	    0.054356	    0.054013	    0.000086	    0.000172	    0.000001
   270	    0.036667	    0.052337	    0.052018	    0.000079	    0.000159	    0.000001
   280	    0.035357	    0.050462	    0.050166	    0.000074	    0.000148	    0.000001
   290	    0.034138	    0.048717	    0.048441	    0.000069	    0.000138	    0.000001
   300	    0.033000	    0.047089	    0.046831	    0.000064	    0.000129	    0.000001
   310	    0.031935	    0.045566	    0.045324	    0.000060	    0.000121	    0.000001
   320	    0.030938	    0.044138	    0.043911	    0.000057	    0.000113	    0.000001
   330	    0.030000	    0.042797	    0.042584	    0.000053	    0.000107	    0.000000
   340	    0.029118	    0.041536	    0.041335	    0.000050	    0.000100	    0.000000
   350	    0.028286	    0.040346	    0.040157	    0.000047	    0.000095	    0.000000
   360	    0.027500	    0.039223	    0.039044	    0.000045	    0.000090	    0.000000
   370	    0.026757	    0.038160	    0.037991	    0.000042	    0.000085	    0.000000
   380	    0.026053	    0.037154	    0.036993	    0.000040	    0.000080	    0.000000
   390	    0.025385	    0.036199	    0.036047	    0.000038	    0.000076	    0.000000
   400	    0.024750	    0.035292	    0.035147	    0.000036	    0.000073	    0.000000
   410	    0.024146	    0.034430	    0.034292	    0.000035	    0.000069	    0.000000
   420	    0.023571	    0.033609	    0.033477	    0.000033	    0.000066	    0.000000
   430	    0.023023	    0.032825	    0.032700	    0.000031	    0.000063	    0.000000
   440	    0.022500	    0.032078	    0.031958	    0.000030	    0.000060	    0.000000
   450	    0.022000	    0.031364	    0.031249	    0.000029	    0.000057	    0.000000
   460	    0.021522	    0.030681	    0.030571	    0.000027	    0.000055	    0.000000
   470	    0.021064	    0.030027	    0.029922	    0.000026	    0.000053	    0.000000
   480	    0.020625	    0.029400	    0.029299	    0.000025	    0.000050	    0.000000
   490	    0.020204	    0.028799	    0.028703	    0.000024	    0.000048	    0.000000
   500	    0.019800	    0.028222	    0.028129	    0.000023	    0.000046	    0.000000
   510	    0.019412	    0.027668	    0.027579	    0.000022	    0.000045	    0.000000
   520	    0.019038	    0.027135	    0.027049	    0.000021	    0.000043	    0.000000
   530	    0.018679	    0.026622	    0.026540	    0.000021	    0.000041	    0.000000
   540	    0.018333	    0.026129	    0.026049	    0.000020	    0.000040	    0.000000
   550	    0.018000	    0.025653	    0.025576	    0.000019	    0.000038	    0.000000
   560	    0.017679	    0.025194	    0.025120	    0.000019	    0.000037	    0.000000
   570	    0.017368	    0.024751	    0.024680	    0.000018	    0.000036	    0.000000
   580	    0.017069	    0.024324	    0.024255	    0.000017	    0.000035	    0.000000
   590	    0.016780	    0.023911	    0.023845	    0.000017	    0.000033	    0.000000
   600	    0.016500	    0.023512	    0.023448	    0.000016	    0.000032	    0.000000
   610	    0.016230	    0.023126	    0.023064	    0.000016	    0.000031	    0.000000
   620	    0.015968	    0.022753	    0.022692	    0.000015	    0.000030	    0.000000
   630	    0.015714	    0.022391	    0.022333	    0.000015	    0.000029	    0.000000
   640	    0.015469	    0.022041	    0.021984	    0.000014	    0.000028	    0.000000
   650	    0.015231	    0.021701	    0.021646	    0.000014	    0.000028	    0.000000
   660	    0.015000	    0.021372	    0.021319	    0.000013	    0.000027	    0.000000
   670	    0.014776	    0.021053	    0.021001	    0.000013	    0.000026	    0.000000
   680	    0.014559	    0.020743	    0.020692	    0.000013	    0.000025	    0.000000
   690	    0.014348	    0.020442	    0.020393	    0.000012	    0.000024	    0.000000
   700	    0.014143	    0.020149	    0.020102	    0.000012	    0.000024	    0.000000
   710	    0.013944	    0.019865	    0.019819	    0.000012	    0.000023	    0.000000
   720	    0.013750	    0.019589	    0.019544	    0.000011	    0.000022	    0.000000
   730	    0.013562	    0.019320	    0.019277	    0.000011	    0.000022	    0.000000
   740	    0.013378	    0.019059	    0.019017	    0.000011	    0.000021	    0.000000
   750	    0.013200	    0.018805	    0.018763	    0.000010	    0.000021	    0.000000
   760	    0.013026	    0.018557	    0.018517	    0.000010	    0.000020	    0.000000
   770	    0.012857	    0.018316	    0.018276	    0.000010	    0.000020	    0.000000
   780	    0.012692	    0.018081	    0.018042	    0.000010	    0.000019	    0.000000
   790	    0.012532	    0.017851	    0.017814	    0.000009	    0.000019	    0.000000
   800	    0.012375	    0.017628	    0.017592	    0.000009	    0.000018	    0.000000
   810	    0.012222	    0.017410	    0.017375	    0.000009	    0.000018	    0.000000
   820	    0.012073	    0.017198	    0.017163	    0.000009	    0.000017	    0.000000
   830	    0.011928	    0.016990	    0.016957	    0.000008	    0.000017	    0.000000
   840	    0.011786	    0.016788	    0.016755	    0.000008	    0.000016	    0.000000
   850	    0.011647	    0.016590	    0.016558	    0.000008	    0.000016	    0.000000
   860	    0.011512	    0.016397	    0.016366	    0.000008	    0.000016	    0.000000
   870	    0.011379	    0.016208	    0.016178	    0.000008	    0.000015	    0.000000
   880	    0.011250	    0.016024	    0.015994	    0.000008	    0.000015	    0.000000
   890	    0.011124	    0.015844	    0.015814	    0.000007	    0.000015	    0.000000
   900	    0.011000	    0.015668	    0.015639	    0.000007	    0.000014	    0.000000
   910	    0.010879	    0.015495	    0.015467	    0.000007	    0.000014	    0.000000
   920	    0.010761	    0.015327	    0.015299	    0.000007	    0.000014	    0.000000
   930	    0.010645	    0.015162	    0.015135	    0.000007	    0.000013	    0.000000
   940	    0.010532	    0.015000	    0.014974	    0.000007	    0.000013	    0.000000
   950	    0.010421	    0.014842	    0.014817	    0.000006	    0.000013	    0.000000
   960	    0.010313	    0.014688	    0.014662	    0.000006	    0.000013	    0.000000
   970	    0.010206	    0.014536	    0.014511	    0.000006	    0.000012	    0.000000
   980	    0.010102	    0.014388	    0.014363	    0.000006	    0.000012	    0.000000
   990	    0.010000	    0.014242	    0.014218	    0.000006	    0.000012	    0.000000
  1000	    0.009900	    0.014100	    0.014076	    0.000006	    0.000012	    0.000000
  1010	    0.009802	    0.013960	    0.013937	    0.000006	    0.000011	    0.000000
  1020	    0.009706	    0.013823	    0.013801	    0.000006	    0.000011	    0.000000
  1030	    0.009612	    0.013689	    0.013667	    0.000005	    0.000011	    0.000000
  1040	    0.009519	    0.013557	    0.013535	    0.000005	    0.000011	    0.000000
  1050	    0.009429	    0.013428	    0.013407	    0.000005	    0.000011	    0.000000
  1060	    0.009340	    0.013301	    0.013280	    0.000005	    0.000010	    0.000000
  1070	    0.009252	    0.013176	    0.013156	    0.000005	    0.000010	    0.000000
  1080	    0.009167	    0.013054	    0.013034	    0.000005	    0.000010	    0.000000
  1090	    0.009083	    0.012935	    0.012915	    0.000005	    0.000010	    0.000000
  1100	    0.009000	    0.012817	    0.012798	    0.000005	    0.000010	    0.000000
  1110	    0.008919	    0.012701	    0.012682	    0.000005	    0.000009	    0.000000
  1120	    0.008839	    0.012588	    0.012569	    0.000005	    0.000009	    0.000000
  1130	    0.008761	    0.012476	    0.012458	    0.000005	    0.000009	    0.000000
  1140	    0.008684	    0.012367	    0.012349	    0.000004	    0.000009	    0.000000
  1150	    0.008609	    0.012259	    0.012242	    0.000004	    0.000009	    0.000000
  1160	    0.008534	    0.012153	    0.012136	    0.000004	    0.000009	    0.000000
  1170	    0.008462	    0.012049	    0.012032	    0.000004	    0.000008	    0.000000
  1180	    0.008390	    0.011947	    0.011931	    0.000004	    0.000008	    0.000000
  1190	    0.008319	    0.011847	    0.011830	    0.000004	    0.000008	    0.000000
  1200	    0.008250	    0.011748	    0.011732	    0.000004	    0.000008	    0.000000
  1210	    0.008182	    0.011651	    0.011635	    0.000004	    0.000008	    0.000000
  1220	    0.008115	    0.011555	    0.011540	    0.000004	    0.000008	    0.000000
  1230	    0.008049	    0.011461	    0.011446	    0.000004	    0.000008	    0.000000
  1240	    0.007984	    0.011369	    0.011354	    0.000004	    0.000008	    0.000000
  1250	    0.007920	    0.011278	    0.011263	    0.000004	    0.000007	    0.000000
  1260	    0.007857	    0.011188	    0.011174	    0.000004	    0.000007	    0.000000
  1270	    0.007795	    0.011100	    0.011086	    0.000004	    0.000007	    0.000000
  1280	    0.007734	    0.011013	    0.010999	    0.000004	    0.000007	    0.000000
  1290	    0.007674	    0.010928	    0.010914	    0.000003	    0.000007	    0.000000
  1300	    0.007615	    0.010844	    0.010830	    0.000003	    0.000007	    0.000000
  1310	    0.007557	    0.010761	    0.010747	    0.000003	    0.000007	    0.000000
  1320	    0.007500	    0.010679	    0.010666	    0.000003	    0.000007	    0.000000
  1330	    0.007444	    0.010599	    0.010586	    0.000003	    0.000007	    0.000000
  1340	    0.007388	    0.010520	    0.010507	    0.000003	    0.000006	    0.000000
  1350	    0.007333	    0.010442	    0.010429	    0.000003	    0.000006	    0.000000
  1360	    0.007279	    0.010365	    0.010353	    0.000003	    0.000006	    0.000000
  1370	    0.007226	    0.010289	    0.010277	    0.000003	    0.000006	    0.000000
  1380	    0.007174	    0.010215	    0.010203	    0.000003	    0.000006	    0.000000
  1390	    0.007122	    0.010141	    0.010129	    0.000003	    0.000006	    0.000000
  1400	    0.007071	    0.010069	    0.010057	    0.000003	    0.000006	    0.000000
  1410	    0.007021	    0.009997	    0.009986	    0.000003	    0.000006	    0.000000
  1420	    0.006972	    0.009927	    0.009915	    0.000003	    0.000006	    0.000000
  1430	    0.006923	    0.009857	    0.009846	    0.000003	    0.000006	    0.000000
  1440	    0.006875	    0.009789	    0.009778	    0.000003	    0.000006	    0.000000
  1450	    0.006828	    0.009721	    0.009710	    0.000003	    0.000006	    0.000000
  1460	    0.006781	    0.009655	    0.009644	    0.000003	    0.000005	    0.000000
  1470	    0.006735	    0.009589	    0.009578	    0.000003	    0.000005	    0.000000
  1480	    0.006689	    0.009524	    0.009514	    0.000003	    0.000005	    0.000000
